wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785649395.662,0.0,36264,,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23809504,0,0,7,0,,
1785649396.669,1.0,36264,xmrig,0.0,NONE,NONE,0,1147,54,126,56,0,0,134,8,2,1,2,0,3,10,1845113519,32,314,1,1,1410739020,16,10,37,6,,
1785649397.682,2.0,36264,xmrig,0.0,NONE,NONE,0,1295,54,126,56,0,0,134,8,2,1,2,0,3,10,5359912186,34,1355,1,1,1410739020,16,10,37,6,,
1785649398.686,3.0,36264,xmrig,0.0,NONE,NONE,0,1428,54,126,56,0,0,134,8,2,1,2,0,3,10,7842699058,37,2576,1,1,1410739020,16,10,37,6,,
1785649399.691,4.0,36264,xmrig,0.0,NONE,NONE,0,1562,54,126,56,0,0,134,8,2,1,2,0,3,10,10801399810,39,3984,1,1,1410739020,16,10,37,6,,
1785649400.7,5.0,36264,xmrig,0.0,NONE,NONE,0,1696,54,126,56,0,0,134,8,2,1,2,0,3,10,14136657974,39,5533,1,1,1410739020,16,10,37,6,,
1785649401.706,6.0,36264,xmrig,0.0,NONE,NONE,0,1825,54,126,56,0,0,134,8,2,1,2,0,3,10,16696537050,41,6727,1,1,1410739020,16,10,37,6,,
1785649402.713,7.0,36264,xmrig,0.0,NONE,NONE,0,1961,54,126,56,0,0,134,8,2,1,2,0,3,10,19462438499,42,7809,1,1,1410739020,16,10,37,6,,
1785649403.72,8.1,36264,xmrig,0.0,NONE,NONE,0,2094,54,126,56,0,0,134,8,2,1,2,0,3,10,22339243670,44,8958,1,1,1410739020,16,10,37,6,,
1785649404.724,9.1,36264,xmrig,0.0,NONE,NONE,0,2227,54,126,56,0,0,134,8,2,1,2,0,3,10,25286032807,47,10266,1,1,1410739020,16,10,37,6,,
1785649405.733,10.1,36264,xmrig,0.0,NONE,NONE,0,2362,54,126,56,0,0,134,8,2,1,2,0,3,10,28184618520,47,11644,1,1,1410739020,16,10,37,6,,
1785649406.739,11.1,36264,xmrig,0.0,NONE,NONE,0,2493,54,126,56,0,0,134,8,2,1,2,0,3,10,31162714835,48,13068,1,1,1410739020,16,10,37,6,,
1785649407.749,12.1,36264,xmrig,0.0,NONE,NONE,0,2627,54,126,56,0,0,134,8,2,1,2,0,3,10,34105846146,52,14304,1,1,1410739020,16,10,37,6,,
1785649408.755,13.1,36264,xmrig,0.0,NONE,NONE,0,2755,54,126,56,0,0,134,8,2,1,2,0,3,10,37019717282,52,15725,1,1,1410739020,16,10,37,6,,
1785649409.759,14.1,36264,xmrig,0.0,NONE,NONE,0,2889,54,126,56,0,0,134,8,2,1,2,0,3,10,39810764940,53,17059,1,1,1410739020,16,10,37,6,,
1785649410.763,15.1,36264,xmrig,0.0,NONE,NONE,0,3024,54,126,56,0,0,134,8,2,1,2,0,3,10,42783906807,55,18438,1,1,1410739020,16,10,37,6,,
1785649411.767,16.1,36264,xmrig,0.0,NONE,NONE,0,3154,54,126,56,0,0,134,8,2,1,2,0,3,10,45615090151,57,19867,1,1,1410739020,16,10,37,6,,
1785649412.776,17.1,36264,xmrig,0.0,NONE,NONE,0,3288,54,126,56,0,0,134,8,2,1,2,0,3,10,48545737316,58,21105,1,1,1410739020,16,10,37,6,,
1785649413.784,18.1,36264,xmrig,0.0,NONE,NONE,0,3423,54,126,56,0,0,134,8,2,1,2,0,3,10,51508204979,63,22409,1,1,1410739020,16,10,37,6,,
1785649414.786,19.1,36264,xmrig,55.0,MEDIUM,THROTTLE,1,3517,54,126,56,0,0,134,8,2,1,2,0,3,10,53953059858,76,23511,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785649415.788,20.1,36264,xmrig,55.0,MEDIUM,THROTTLE,1,3533,54,126,56,0,0,134,8,2,1,2,0,3,10,54252057040,116,23599,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785649416.791,21.1,36264,xmrig,55.0,MEDIUM,THROTTLE,1,3549,54,126,56,0,0,134,8,2,1,2,0,3,10,54558159837,156,23678,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785649417.793,22.1,36264,xmrig,55.0,MEDIUM,THROTTLE,1,3563,54,126,56,0,0,134,8,2,1,2,0,3,10,54873347709,198,23762,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785649418.796,23.1,36264,xmrig,55.0,MEDIUM,THROTTLE,1,3582,54,126,56,0,0,134,8,2,1,2,0,3,10,55182075906,240,23858,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785649419.799,24.1,36264,xmrig,55.0,MEDIUM,THROTTLE,1,3597,54,126,56,0,0,134,8,2,1,2,0,3,10,55475835920,279,23932,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785649420.802,25.1,36264,xmrig,55.0,MEDIUM,THROTTLE,1,3611,54,126,56,0,0,134,8,2,1,2,0,3,10,55752798657,316,24035,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785649421.804,26.1,36264,xmrig,55.0,MEDIUM,THROTTLE,1,3629,54,126,56,0,0,134,8,2,1,2,0,3,10,56052341136,358,24131,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785649422.807,27.1,36264,xmrig,55.0,MEDIUM,THROTTLE,1,3644,54,126,56,0,0,134,8,2,1,2,0,3,10,56382659172,402,24258,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785649423.809,28.1,36264,xmrig,55.0,MEDIUM,THROTTLE,1,3661,54,126,56,0,0,134,8,2,1,2,0,3,10,56681657398,442,24361,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785649424.812,29.2,36264,xmrig,55.0,MEDIUM,THROTTLE,1,3678,54,126,56,0,0,134,8,2,1,2,0,3,10,56982948581,482,24444,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785649425.821,30.2,36264,xmrig,55.0,MEDIUM,THROTTLE,1,3694,54,126,56,0,0,134,8,2,1,2,0,3,10,57271777612,520,24562,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785649426.825,31.2,36264,xmrig,55.0,MEDIUM,THROTTLE,1,3711,54,126,56,0,0,134,8,2,1,2,0,3,10,57582486193,562,24668,1,1,1410739020,16,10,37,6,0.0,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 100% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence; (score capped: process too young for CRITICAL/HIGH escalation)
1785649427.827,32.2,36264,xmrig,84.0,CRITICAL,TERMINATE,2,3722,54,126,56,0,0,134,8,2,1,2,0,3,10,57830467518,598,24740,1,1,1410739020,16,10,37,6,30.9,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence
1785649428.83,33.2,36264,xmrig,84.0,CRITICAL,TERMINATE,2,3723,54,126,56,0,0,134,8,2,1,2,0,3,10,57830516642,610,24740,1,1,1410739020,16,10,37,6,30.9,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence
1785649429.836,34.2,36264,xmrig,84.0,CRITICAL,TERMINATE,2,3723,54,126,56,0,0,134,8,2,1,2,0,3,10,57830516642,610,24740,1,1,1410739020,16,10,37,6,30.9,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence
1785649430.84,35.2,36264,xmrig,84.0,CRITICAL,TERMINATE,2,3723,54,126,56,0,0,134,8,2,1,2,0,3,10,57830516642,610,24740,1,1,1410739020,16,10,37,6,30.9,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence
1785649431.843,36.2,36264,xmrig,84.0,CRITICAL,TERMINATE,2,3723,54,126,56,0,0,134,8,2,1,2,0,3,10,57830516642,610,24740,1,1,1410739020,16,10,37,6,30.9,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence
1785649432.846,37.2,36264,xmrig,84.0,CRITICAL,TERMINATE,2,3723,54,126,56,0,0,134,8,2,1,2,0,3,10,57830516642,610,24740,1,1,1410739020,16,10,37,6,30.9,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence
1785649433.85,38.2,36264,xmrig,84.0,CRITICAL,TERMINATE,2,3723,54,126,56,0,0,134,8,2,1,2,0,3,10,57830516642,610,24740,1,1,1410739020,16,10,37,6,30.9,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence
1785649434.853,39.2,36264,xmrig,84.0,CRITICAL,TERMINATE,2,3723,54,126,56,0,0,134,8,2,1,2,0,3,10,57830516642,610,24740,1,1,1410739020,16,10,37,6,30.9,thread saturation: 10 threads = 4 logical CPUs; RandomX signature: 10 × 2MB scratchpad allocation(s) backed by huge pages (32 MB total) — strong evidence; MAP_HUGETLB requested (10 times); CPU-bound: 98% involuntary preemptions (never yields voluntarily); stratum pool connection confirmed (1 hit(s)) — near-conclusive cryptomining evidence
